A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: ViT (scratch) (seed=2)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=1.0)) | Heads: 263,941 params
global_step=31928, episodic_return=5.0, episodic_length=1324
global_step=32040, episodic_return=3.0, episodic_length=1048
global_step=32072, episodic_return=1.0, episodic_length=685
global_step=32296, episodic_return=2.0, episodic_length=875
global_step=32592, episodic_return=0.0, episodic_length=591
global_step=32696, episodic_return=2.0, episodic_length=850
global_step=32712, episodic_return=4.0, episodic_length=1225
global_step=33104, episodic_return=0.0, episodic_length=544
global_step=33288, episodic_return=0.0, episodic_length=496
global_step=33592, episodic_return=2.0, episodic_length=829
global_step=33672, episodic_return=10.0, episodic_length=1848
global_step=33952, episodic_return=3.0, episodic_length=944
global_step=34288, episodic_return=2.0, episodic_length=810
global_step=34432, episodic_return=2.0, episodic_length=856
global_step=34824, episodic_return=4.0, episodic_length=1137
global_step=35400, episodic_return=0.0, episodic_length=568
global_step=35576, episodic_return=4.0, episodic_length=1240
global_step=35608, episodic_return=0.0, episodic_length=607
global_step=35912, episodic_return=0.0, episodic_length=553
global_step=36096, episodic_return=5.0, episodic_length=1421
global_step=36408, episodic_return=4.0, episodic_length=1228
global_step=36488, episodic_return=5.0, episodic_length=1432
global_step=36640, episodic_return=6.0, episodic_length=1544
global_step=36992, episodic_return=0.0, episodic_length=556
global_step=37016, episodic_return=2.0, episodic_length=825
global_step=37640, episodic_return=3.0, episodic_length=1015
global_step=38016, episodic_return=4.0, episodic_length=1237
global_step=38280, episodic_return=2.0, episodic_length=818
global_step=38520, episodic_return=4.0, episodic_length=1216
global_step=38528, episodic_return=3.0, episodic_length=1072
global_step=38672, episodic_return=2.0, episodic_length=825
global_step=38768, episodic_return=0.0, episodic_length=573
global_step=38896, episodic_return=4.0, episodic_length=1205
global_step=39080, episodic_return=3.0, episodic_length=1061
global_step=39376, episodic_return=1.0, episodic_length=696
global_step=39384, episodic_return=0.0, episodic_length=557
global_step=39552, episodic_return=0.0, episodic_length=515
global_step=39696, episodic_return=0.0, episodic_length=533
global_step=39856, episodic_return=0.0, episodic_length=553
global_step=40264, episodic_return=2.0, episodic_length=881
global_step=40568, episodic_return=2.0, episodic_length=835
global_step=40704, episodic_return=2.0, episodic_length=829
update 40/9765 | step 40960/10000000 | SPS 490 | pg_loss -0.0056 | v_loss 0.0310 | entropy 1.3365
