A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: JEPA (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=40992, episodic_return=0.0, episodic_length=581
global_step=41128, episodic_return=2.0, episodic_length=819
global_step=41400, episodic_return=0.0, episodic_length=517
global_step=42088, episodic_return=3.0, episodic_length=1008
global_step=42192, episodic_return=4.0, episodic_length=1208
global_step=42280, episodic_return=3.0, episodic_length=1013
global_step=42640, episodic_return=4.0, episodic_length=1248
global_step=42800, episodic_return=2.0, episodic_length=853
global_step=42992, episodic_return=5.0, episodic_length=1442
global_step=43112, episodic_return=2.0, episodic_length=872
global_step=43240, episodic_return=0.0, episodic_length=536
global_step=43248, episodic_return=0.0, episodic_length=599
global_step=43832, episodic_return=5.0, episodic_length=1416
global_step=43848, episodic_return=0.0, episodic_length=548
global_step=43888, episodic_return=2.0, episodic_length=808
global_step=44280, episodic_return=0.0, episodic_length=531
global_step=44608, episodic_return=2.0, episodic_length=824
global_step=44648, episodic_return=3.0, episodic_length=1028
global_step=44728, episodic_return=2.0, episodic_length=809
global_step=44936, episodic_return=0.0, episodic_length=537
global_step=45304, episodic_return=3.0, episodic_length=1045
global_step=45456, episodic_return=2.0, episodic_length=824
global_step=45520, episodic_return=2.0, episodic_length=846
global_step=45960, episodic_return=0.0, episodic_length=508
global_step=46384, episodic_return=2.0, episodic_length=824
global_step=46392, episodic_return=0.0, episodic_length=567
global_step=46600, episodic_return=3.0, episodic_length=1020
global_step=46720, episodic_return=4.0, episodic_length=1225
global_step=47072, episodic_return=4.0, episodic_length=1207
global_step=47160, episodic_return=2.0, episodic_length=828
global_step=47224, episodic_return=1.0, episodic_length=632
global_step=47784, episodic_return=0.0, episodic_length=537
global_step=47832, episodic_return=4.0, episodic_length=1189
global_step=47984, episodic_return=2.0, episodic_length=823
global_step=48096, episodic_return=2.0, episodic_length=854
global_step=48136, episodic_return=0.0, episodic_length=541
global_step=48256, episodic_return=0.0, episodic_length=511
global_step=48608, episodic_return=3.0, episodic_length=1008
global_step=48760, episodic_return=2.0, episodic_length=805
global_step=49136, episodic_return=0.0, episodic_length=529
global_step=49192, episodic_return=0.0, episodic_length=551
global_step=49776, episodic_return=3.0, episodic_length=1001
global_step=49880, episodic_return=2.0, episodic_length=818
global_step=49992, episodic_return=3.0, episodic_length=1004
global_step=50288, episodic_return=2.0, episodic_length=849
global_step=50384, episodic_return=2.0, episodic_length=816
global_step=50672, episodic_return=5.0, episodic_length=1442
global_step=50784, episodic_return=2.0, episodic_length=830
global_step=50792, episodic_return=2.0, episodic_length=805
global_step=50832, episodic_return=0.0, episodic_length=533
update 50/9765 | step 51200/10000000 | SPS 482 | pg_loss -0.0140 | v_loss 0.0216 | entropy 1.1916
global_step=51320, episodic_return=0.0, episodic_length=523
global_step=51376, episodic_return=0.0, episodic_length=507
global_step=51616, episodic_return=2.0, episodic_length=815
global_step=51792, episodic_return=0.0, episodic_length=512
global_step=51800, episodic_return=0.0, episodic_length=503
global_step=51856, episodic_return=3.0, episodic_length=997
global_step=52656, episodic_return=3.0, episodic_length=1004
global_step=52792, episodic_return=0.0, episodic_length=496
global_step=52824, episodic_return=0.0, episodic_length=540
global_step=52928, episodic_return=2.0, episodic_length=825
global_step=52992, episodic_return=2.0, episodic_length=821
global_step=53216, episodic_return=2.0, episodic_length=819
global_step=53224, episodic_return=4.0, episodic_length=1196
global_step=53288, episodic_return=1.0, episodic_length=712
global_step=53856, episodic_return=0.0, episodic_length=531
global_step=54048, episodic_return=0.0, episodic_length=532
global_step=54224, episodic_return=0.0, episodic_length=512
global_step=54272, episodic_return=2.0, episodic_length=823
global_step=54360, episodic_return=0.0, episodic_length=547
global_step=54800, episodic_return=3.0, episodic_length=956
global_step=55104, episodic_return=1.0, episodic_length=628
global_step=55240, episodic_return=4.0, episodic_length=1232
global_step=55296, episodic_return=0.0, episodic_length=537
global_step=55992, episodic_return=2.0, episodic_length=830
global_step=56016, episodic_return=5.0, episodic_length=1422
global_step=56048, episodic_return=3.0, episodic_length=1016
