A.L.E: Arcade Learning Environment (version 0.11.2+ecc1138)
[Powered by Stella]

============================================================
Training: AE (fine-tune) (seed=3)
============================================================
Encoder: 1,999,232 params (fine-tune (encoder_lr_scale=0.1)) | Heads: 263,941 params
global_step=48768, episodic_return=0.0, episodic_length=511
global_step=48864, episodic_return=1.0, episodic_length=639
global_step=48968, episodic_return=1.0, episodic_length=643
global_step=49040, episodic_return=1.0, episodic_length=639
global_step=49176, episodic_return=2.0, episodic_length=777
global_step=49496, episodic_return=0.0, episodic_length=531
global_step=49768, episodic_return=0.0, episodic_length=524
global_step=50008, episodic_return=2.0, episodic_length=744
global_step=50136, episodic_return=1.0, episodic_length=638
global_step=50176, episodic_return=8.0, episodic_length=1135
global_step=50424, episodic_return=1.0, episodic_length=635
global_step=50528, episodic_return=2.0, episodic_length=760
global_step=51096, episodic_return=2.0, episodic_length=816
global_step=51112, episodic_return=0.0, episodic_length=547
update 50/9765 | step 51200/10000000 | SPS 488 | pg_loss -0.0008 | v_loss 0.0297 | entropy 1.1836
global_step=51208, episodic_return=4.0, episodic_length=1141
global_step=51264, episodic_return=0.0, episodic_length=562
global_step=51736, episodic_return=1.0, episodic_length=651
global_step=51776, episodic_return=7.0, episodic_length=1015
global_step=52112, episodic_return=0.0, episodic_length=515
global_step=52144, episodic_return=7.0, episodic_length=983
global_step=52296, episodic_return=0.0, episodic_length=514
global_step=52336, episodic_return=1.0, episodic_length=626
global_step=52680, episodic_return=2.0, episodic_length=731
global_step=53048, episodic_return=1.0, episodic_length=652
global_step=53120, episodic_return=0.0, episodic_length=512
global_step=53176, episodic_return=0.0, episodic_length=528
global_step=53256, episodic_return=2.0, episodic_length=770
global_step=53336, episodic_return=6.0, episodic_length=1406
global_step=53504, episodic_return=0.0, episodic_length=607
global_step=53664, episodic_return=1.0, episodic_length=679
global_step=54120, episodic_return=0.0, episodic_length=560
global_step=54144, episodic_return=2.0, episodic_length=739
global_step=54568, episodic_return=0.0, episodic_length=547
global_step=54600, episodic_return=1.0, episodic_length=652
global_step=54680, episodic_return=2.0, episodic_length=803
global_step=54744, episodic_return=2.0, episodic_length=747
global_step=54752, episodic_return=0.0, episodic_length=563
global_step=55192, episodic_return=7.0, episodic_length=1032
global_step=55424, episodic_return=1.0, episodic_length=663
global_step=55440, episodic_return=1.0, episodic_length=676
global_step=55656, episodic_return=0.0, episodic_length=522
global_step=55792, episodic_return=0.0, episodic_length=543
global_step=55952, episodic_return=1.0, episodic_length=704
global_step=56216, episodic_return=2.0, episodic_length=782
global_step=56376, episodic_return=2.0, episodic_length=819
global_step=56648, episodic_return=1.0, episodic_length=616
global_step=56664, episodic_return=0.0, episodic_length=504
global_step=56944, episodic_return=3.0, episodic_length=875
global_step=57024, episodic_return=2.0, episodic_length=802
global_step=57416, episodic_return=2.0, episodic_length=735
global_step=57584, episodic_return=3.0, episodic_length=911
global_step=57688, episodic_return=0.0, episodic_length=526
global_step=57768, episodic_return=2.0, episodic_length=772
global_step=57976, episodic_return=1.0, episodic_length=664
global_step=58064, episodic_return=0.0, episodic_length=572
global_step=58096, episodic_return=3.0, episodic_length=876
global_step=58520, episodic_return=2.0, episodic_length=771
global_step=58608, episodic_return=0.0, episodic_length=526
global_step=58704, episodic_return=0.0, episodic_length=524
global_step=58808, episodic_return=1.0, episodic_length=716
global_step=59280, episodic_return=1.0, episodic_length=608
global_step=59288, episodic_return=2.0, episodic_length=767
global_step=59352, episodic_return=1.0, episodic_length=687
global_step=59376, episodic_return=1.0, episodic_length=660
global_step=59536, episodic_return=0.0, episodic_length=504
global_step=60040, episodic_return=1.0, episodic_length=615
global_step=60160, episodic_return=2.0, episodic_length=780
global_step=60240, episodic_return=2.0, episodic_length=777
global_step=60304, episodic_return=0.0, episodic_length=519
global_step=60784, episodic_return=2.0, episodic_length=772
global_step=60848, episodic_return=2.0, episodic_length=767
global_step=60912, episodic_return=2.0, episodic_length=772
global_step=61000, episodic_return=2.0, episodic_length=751
global_step=61184, episodic_return=0.0, episodic_length=534
update 60/9765 | step 61440/10000000 | SPS 491 | pg_loss 0.0028 | v_loss 0.0309 | entropy 1.1533
global_step=61512, episodic_return=1.0, episodic_length=638
global_step=61776, episodic_return=2.0, episodic_length=735
global_step=62136, episodic_return=1.0, episodic_length=647
global_step=62248, episodic_return=0.0, episodic_length=540
global_step=62304, episodic_return=1.0, episodic_length=648
global_step=62312, episodic_return=1.0, episodic_length=698
global_step=62320, episodic_return=2.0, episodic_length=771
global_step=62360, episodic_return=5.0, episodic_length=1180
global_step=63008, episodic_return=1.0, episodic_length=635
global_step=63288, episodic_return=3.0, episodic_length=911
global_step=63304, episodic_return=0.0, episodic_length=539
global_step=63336, episodic_return=0.0, episodic_length=514
global_step=63360, episodic_return=0.0, episodic_length=520
global_step=63432, episodic_return=1.0, episodic_length=647
global_step=63528, episodic_return=1.0, episodic_length=616
global_step=63992, episodic_return=0.0, episodic_length=492
global_step=64304, episodic_return=0.0, episodic_length=511
global_step=64312, episodic_return=0.0, episodic_length=507
global_step=64664, episodic_return=1.0, episodic_length=635
global_step=64736, episodic_return=8.0, episodic_length=1204
global_step=64760, episodic_return=1.0, episodic_length=616
global_step=64888, episodic_return=2.0, episodic_length=776
global_step=64896, episodic_return=2.0, episodic_length=795
